;;;Total;C1: Security Apparatus;C2: Factionalized Elites;C3: Group Grievance;E1: Economy;E2: Economic Inequality;E3: Human Flight and Brain Drain;P1: State Legitimacy;P2: Public Services;P3: Human Rights;S1: Demographic Pressures;S2: Refugees and IDPs;X1: External Intervention
Philippines;64th;64th;75.1;8.8;8.0;6.5;4.1;4.8;4.6;6.5;6.2;7.2;7.4;5.5;5.5
Guatemala;65th;65th;74.9;5.8;7.1;9.1;4.4;6.0;6.2;7.0;6.5;7.9;6.8;5.0;3.1
Kyrgyz Republic;65th;65th;74.9;5.3;8.2;8.1;6.6;4.6;6.4;8.2;5.2;6.3;5.8;3.6;6.6
Timor-Leste;67th;67th;74.8;5.3;8.3;4.7;7.2;5.8;6.3;4.6;6.9;4.2;8.4;5.4;7.7
Lesotho;68th;68th;74.6;5.5;7.3;2.8;8.1;7.6;7.2;4.5;7.4;4.9;8.9;3.9;6.5
Jordan;69th;69th;74.3;4.3;6.9;8.2;6.2;4.1;6.0;6.8;4.5;7.0;6.0;8.1;6.2
Senegal;70th;70th;74.2;4.6;7.4;5.1;7.2;6.2;6.8;7.2;7.7;4.7;7.2;5.5;4.6
Laos;71st;71st;73.8;3.6;8.3;7.5;5.2;5.2;6.3;9.0;6.0;7.1;6.1;5.1;4.4
Azerbaijan;72nd;72nd;72.8;5.5;7.9;6.4;4.5;4.2;4.5;9.3;5.2;7.6;3.6;6.6;7.5
Tajikistan;72nd;72nd;72.8;5.2;8.4;6.9;5.8;4.2;5.1;9.5;4.4;8.3;7.1;3.5;4.4
Benin;74th;74th;72.5;5.0;7.0;2.4;6.6;7.7;5.8;5.3;8.2;6.0;7.9;6.0;4.6
India;75th;75th;72.3;5.7;7.3;8.2;5.9;5.7;4.8;4.5;7.0;7.6;8.2;3.8;3.6
Peru;76th;76th;72.0;5.7;8.4;8.1;4.3;5.9;5.7;7.7;6.9;5.8;7.7;4.3;1.5
Bosnia and Herzegovina;77th;77th;71.0;4.1;8.7;7.5;6.3;3.6;7.2;6.1;3.9;4.2;5.8;6.9;6.7
Brazil;78th;78th;70.3;5.9;6.1;7.5;6.1;6.3;3.2;6.6;6.9;7.4;8.4;3.2;2.7
Gabon;79th;79th;70.2;7.9;8.5;2.8;6.0;5.9;4.3;8.6;7.0;6.3;6.6;2.7;3.6
South Africa;80th;80th;69.6;6.3;6.8;5.7;8.2;6.8;4.3;5.8;6.8;5.1;7.3;3.7;2.8
Bolivia;81st;81st;69.4;5.0;8.2;6.7;5.8;7.5;5.3;6.5;6.0;5.4;7.0;2.3;3.7
Georgia;82nd;82nd;69.3;4.7;8.8;6.8;5.0;4.2;6.8;7.7;3.5;4.7;4.4;6.2;6.5
Mexico;83rd;83rd;69.0;8.0;5.9;6.1;4.2;5.8;4.6;6.4;6.8;5.3;7.0;5.2;3.7
Morocco;84th;84th;68.8;4.0;6.6;8.0;5.6;4.7;6.8;6.8;4.8;5.1;5.9;5.6;4.9
Belarus;85th;85th;68.7;5.9;9.9;5.6;4.9;3.0;4.2;9.1;2.4;8.0;4.5;3.1;8.1
El Salvador;85th;85th;68.7;5.7;4.8;5.3;5.5;5.1;8.6;5.7;5.9;5.9;6.5;5.0;4.7
Algeria;87th;87th;68.6;5.5;6.9;7.1;6.3;4.9;4.6;7.6;4.7;7.4;4.9;5.9;2.8
Sao Tome and Principe;88th;88th;68.5;4.4;6.3;4.2;8.6;6.9;6.8;3.5;6.4;2.7;6.8;4.9;7.0
Armenia;89th;89th;68.1;5.4;6.4;6.9;6.1;2.7;6.9;6.0;3.9;5.5;3.5;7.3;7.5
Ecuador;90th;90th;68.0;6.1;8.2;5.6;5.7;6.0;4.3;6.5;5.7;4.6;6.4;4.7;4.2
Serbia;91st;91st;67.8;4.4;8.9;7.9;5.8;4.2;5.9;6.1;3.6;3.5;3.8;6.5;7.2
Tunisia;92nd;92nd;67.2;6.6;7.2;7.0;7.7;4.0;5.7;5.8;4.9;7.0;4.0;3.0;4.3
Micronesia;93rd;93rd;66.9;2.8;5.6;3.7;7.8;6.9;8.1;3.8;5.9;3.4;5.5;3.9;9.5
Fiji;94th;94th;66.4;6.1;8.2;4.9;7.0;4.7;7.3;5.8;3.9;5.0;4.3;2.9;6.3
Thailand;95th;95th;66.2;7.7;10.0;6.8;3.3;4.0;3.4;7.6;3.4;7.5;5.8;5.0;1.7
Uzbekistan;96th;96th;64.8;5.3;8.8;5.1;5.4;5.0;4.0;9.1;3.7;7.4;4.4;3.5;3.1
Moldova;97th;97th;64.7;4.2;7.8;5.5;5.9;3.3;7.6;4.4;4.3;3.6;5.1;6.3;6.7
Bhutan;98th;98th;64.5;2.4;7.5;9.4;5.6;4.0;5.4;2.8;5.3;5.3;5.1;5.5;6.2
China;99th;99th;64.4;4.6;7.2;6.2;3.8;6.2;3.3;8.1;4.8;9.4;6.2;2.8;1.8
Bahrain;100th;100th;64.2;5.0;7.6;9.5;3.3;6.0;2.9;8.0;2.4;8.4;3.8;1.7;5.6
Samoa;101st;101st;63.9;3.3;5.1;5.4;6.6;3.8;10.0;3.8;4.6;4.0;4.7;3.2;9.4
Indonesia;102nd;102nd;63.7;4.9;7.1;6.6;3.8;4.2;5.4;4.8;5.6;6.7;7.1;4.1;3.4
Saudi Arabia;103rd;103rd;63.2;4.8;8.5;9.6;3.7;4.5;2.4;7.5;3.5;7.8;4.0;2.9;4.0
Turkmenistan;104th;104th;62.2;4.2;7.8;5.2;4.8;5.3;3.8;9.8;3.8;8.2;5.3;2.0;2.0
Paraguay;105th;105th;61.5;5.4;7.8;4.4;4.6;6.6;4.4;6.5;5.4;5.3;5.4;2.8;2.9
Ghana;106th;106th;60.8;3.7;5.9;2.7;6.0;6.8;6.5;3.3;6.5;3.5;7.5;3.2;5.2
Maldives;107th;107th;60.3;4.6;8.1;3.2;4.9;2.5;4.9;6.6;5.1;7.0;4.9;3.2;5.3
Dominican Republic;108th;108th;60.2;5.2;6.2;4.3;4.6;4.6;6.4;5.1;6.7;4.2;6.7;2.9;3.3
Jamaica;109th;109th;59.3;7.0;3.7;1.3;6.6;5.2;9.2;3.9;6.7;5.0;4.5;2.0;4.2
Namibia;109th;109th;59.3;3.9;3.5;3.9;6.9;6.8;5.6;3.1;6.9;2.5;8.3;3.6;4.3
Guyana;111th;111th;59.2;6.2;4.8;5.6;3.3;3.4;7.9;4.3;5.6;3.7;5.5;2.7;6.2
Cuba;112th;112th;59.1;3.1;7.0;2.5;5.7;3.7;5.7;7.8;4.6;6.0;5.4;3.5;4.1
Suriname;113th;113th;58.8;3.1;5.8;7.5;7.4;4.4;5.6;4.1;4.4;4.2;5.2;3.0;4.1
Macedonia;114th;114th;58.1;3.8;7.3;5.1;6.0;4.2;6.5;4.3;3.9;2.5;3.9;6.0;4.6
Kazakhstan;115th;115th;57.8;3.7;7.9;7.1;4.6;2.3;4.4;8.1;3.7;6.8;4.3;2.1;2.8
Cape Verde;116th;116th;57.2;3.9;5.5;2.1;5.9;4.8;7.7;3.2;5.3;2.0;5.9;3.3;7.6
Belize;117th;117th;57.0;6.9;4.3;4.7;6.6;3.3;3.9;3.1;5.2;5.8;4.5;2.9;5.8
Montenegro;118th;118th;56.9;3.7;6.5;9.0;5.5;2.7;5.7;3.8;3.5;2.8;3.8;3.9;6.0
Vietnam;119th;119th;56.2;3.2;6.9;5.1;3.3;3.6;4.4;7.9;3.5;7.2;4.1;3.6;3.4
Albania;120th;120th;55.9;4.5;6.2;4.0;5.8;3.0;8.3;4.9;3.6;3.3;3.8;2.5;6.0
Greece;121st;121st;54.7;3.1;4.1;3.7;5.5;3.3;4.1;5.5;4.6;4.0;4.6;5.4;6.8
Cyprus;122nd;122nd;54.1;2.9;7.9;4.2;5.1;4.0;3.2;3.9;3.0;3.2;3.1;5.6;8.0
Brunei Darussalam;123rd;123rd;53.9;3.6;7.4;7.4;2.9;6.9;2.9;8.0;1.7;6.6;2.9;0.8;2.8
Botswana;124th;124th;53.6;3.5;3.3;3.4;6.3;6.4;4.2;2.5;6.2;5.3;7.5;3.0;2.0
Trinidad and Tobago;125th;125th;53.5;7.6;5.6;3.6;3.6;5.2;6.7;3.2;4.0;3.8;4.2;3.0;3.0
Malaysia;126th;126th;53.1;4.5;6.8;4.5;3.1;3.8;4.2;6.2;3.4;7.2;4.8;2.9;1.7
Antigua and Barbuda;127th;127th;51.9;4.8;3.7;3.6;6.3;4.8;6.1;3.3;3.6;4.1;3.4;2.4;5.8
Grenada;127th;127th;51.9;4.5;5.6;3.6;5.6;4.6;7.4;3.4;4.2;1.7;3.8;1.9;5.6
Israel;129th;129th;51.5;3.6;8.3;7.2;1.5;3.7;2.3;4.8;1.8;4.0;4.5;3.0;6.8
Romania;130th;130th;51.0;1.6;5.7;5.2;4.0;4.2;5.3;4.1;4.7;4.4;4.0;3.7;4.1
Seychelles;130th;130th;51.0;4.9;6.0;3.7;3.9;5.1;5.0;3.2;2.1;4.3;4.3;2.0;6.5
Mongolia;132nd;132nd;50.7;3.0;5.5;2.4;5.1;5.1;3.9;4.0;4.7;4.4;4.9;2.0;5.7
Bulgaria;133rd;133rd;49.4;3.8;5.3;3.7;4.1;4.8;4.9;3.2;3.6;3.1;5.1;4.4;3.4
Kuwait;134th;134th;49.3;2.1;7.5;4.7;2.3;4.7;2.3;6.9;3.0;7.1;4.1;1.9;2.7
Bahamas;135th;135th;48.0;4.6;4.5;2.0;4.0;5.0;4.3;1.5;5.3;4.8;6.0;2.2;3.8
Panama;136th;136th;47.7;4.3;2.7;6.5;3.2;5.9;3.3;3.8;4.7;4.7;4.6;2.5;1.5
Oman;137th;137th;47.4;2.1;6.6;3.2;4.1;4.2;1.1;7.4;2.8;6.6;4.2;1.3;3.8
Hungary;138th;138th;46.2;1.5;5.3;3.0;4.5;2.6;3.6;5.9;2.5;5.4;3.2;5.1;3.6
Croatia;139th;139th;45.9;1.7;4.4;4.0;5.4;2.9;5.8;2.2;2.6;1.7;4.5;6.5;4.2
Barbados;140th;140th;44.7;4.1;4.2;2.0;5.7;5.3;4.8;1.1;3.4;2.8;4.0;2.1;5.2
United States;141st;141st;44.5;4.4;7.4;6.2;2.0;3.9;1.4;4.2;1.9;4.3;5.3;2.4;1.1
Argentina;142nd;142nd;44.2;4.0;2.8;2.9;6.7;5.4;2.4;3.2;3.9;2.4;5.4;1.7;3.4
Spain;143rd;143rd;44.0;2.7;6.9;7.6;4.2;3.4;1.3;6.0;3.2;2.1;3.4;2.2;1.0
